date,hospitalized,hosp_female_percent,hosp_age_mean,hosp_age_sd,on_ventilator,vent_female_percent,vent_age_mean,vent_age_sd,mild,mild_female_percent,mild_age_mean,mild_age_sd,severe,severe_female_percent,severe_age_mean,severe_age_sd,critical,crit_female_percent,crit_age_mean,crit_age_sd
11-Mar-2020,80,37.5,49,18,,33.3,69,18.1,72,37.5,47,16.7,,,,,,42.9,71,17.5
12-Mar-2020,102,40.2,50,18.4,,33.3,69,18.1,94,40.4,49,17.7,,,,,,42.9,71,17.5
13-Mar-2020,122,40.2,49,18.3,,33.3,69,18.1,111,39.6,47,17.3,,50,65,17.5,,42.9,71,17.5
14-Mar-2020,161,42.2,47,18.4,,25,76,12.8,151,42.4,46,17.3,,50,65,17.5,,33.3,80,11.2
15-Mar-2020,200,45.5,47,18.7,,33.3,77,10.3,185,45.4,45,17.4,,50,59,15.1,,44.4,81,9.6
16-Mar-2020,220,44.5,47,18.8,,28.6,78,9.4,204,44.6,45,17.7,,60,55,12.8,,36.4,79,9.2
17-Mar-2020,255,45.1,47,19.3,,28.6,78,9.4,237,45.6,46,18.4,,50,52,13.2,,33.3,78,9.5
18-Mar-2020,305,43.6,47,19.3,,28.6,78,9.4,278,45,45,18.5,,27.3,57,13.6,16,31.3,76,10.7
19-Mar-2020,294,42.5,48,19.9,,41.7,73,14,262,43.5,46,19.1,,27.3,59,12.5,21,38.1,73,12.9
20-Mar-2020,288,43.4,50,19.4,,41.7,73,14,251,44.6,48,19,,28.6,57,11.2,23,39.1,72,12.5
21-Mar-2020,275,42.2,52,19.7,15,40,70,13.7,227,43.6,49,19.4,21,33.3,60,10.7,27,37,72,13.1
22-Mar-2020,325,43.4,53,20,22,27.3,68,14.7,256,46.9,49,19.4,32,31.3,65,13.7,37,29.7,71,14.4
23-Mar-2020,350,43.4,55,20,24,29.2,70,12.5,272,45.6,51,19.3,36,36.1,66,14.7,42,35.7,73,12.8
24-Mar-2020,394,41.4,54,20.2,26,23.1,68,18.5,301,44.9,50,19.6,48,31.3,66,13.6,45,28.9,71,17.5
25-Mar-2020,413,40,55,20.3,27,29.6,66,19.8,312,43.3,51,20,53,28.3,65,13.3,48,31.3,70,18.4
26-Mar-2020,464,40.9,55,20.2,31,25.8,64,18.6,345,44.6,51,20.3,65,33.8,63,14,54,25.9,67,17.9
27-Mar-2020,515,40.8,55,20.8,36,22.2,63,20.1,381,45.1,52,21.1,69,29,64,13.5,65,27.7,67,18.8
28-Mar-2020,512,39.6,56,20.8,39,23.1,62,19.7,361,44,53,21.3,82,26.8,64,14,69,31.9,67,18.5
29-Mar-2020,542,38,57,20.4,50,18,63,17.5,377,42.4,53,21.1,87,28.7,65,14.6,78,26.9,66,16.9
